rank,state,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
1,Maryland,75847,73971,72483,71122,70004,,69272,70545,68080,62372
3,Alaska,73355,71583,72237,67712,67825,,66953,68460,64333,57639
4,New Jersey,72222,71919,70165,69667,67458,,68342,70378,67035,64169
5,Connecticut,71346,70048,67098,67276,65753,,67034,68595,65967,59972
,District of Columbia?,75628,71648,67572,66583,63124,,59290,57936,54317,47221
6,Massachusetts,70628,69160,66768,65339,62859,,64081,65401,62365,56236
7,New Hampshire,70303,66532,64230,63280,62647,,60567,63731,62369,60489
8,Virginia,66262,64902,62666,61741,61882,,59330,61233,59562,55108
2,Hawaii,73486,69592,68020,66259,61821,,64098,67214,63746,60681
14,Delaware,61255,59716,57846,58415,58814,,56860,57989,54610,52214
9,California,64500,61933,60190,58328,57287,,58931,61021,59948,53770
12,Minnesota,63488,61481,60702,58906,56954,,55616,57288,55082,57363
10,Washington,64129,61366,58405,57573,56835,,56548,58078,55591,53439
17,Wyoming,60214,57055,58752,54901,56322,,52664,53207,51731,47227
13,Utah,62912,60922,59770,57049,55869,,55117,56633,55109,55179
11,Colorado,63909,61303,58823,56765,55387,,55430,56993,55212,54039
15,New York,60850,58878,57369,56448,55246,,54659,56033,53514,48201
19,Rhode Island,58073,54891,55902,54554,53636,,54119,55701,53568,52003
18,Illinois,59588,57444,56210,55137,53234,,53966,56235,54124,49280
20,Vermont,56990,54166,52578,52977,52776,,51618,52104,49907,51622
16,North Dakota,60557,59029,55759,53585,51704,,47827,45685,43753,43753
23,Wisconsin,55638,52622,51467,51059,50395,,49993,52094,50578,48874
24,Nebraska,54996,52686,51440,50723,50296,,47357,49693,47085,48126
21,Pennsylvania,55702,53234,52007,51230,50228,,49520,50713,48576,47791
25,Iowa,54736,53712,52229,50957,49427,,48044,48980,47292,47489
22,Texas,55653,53035,51704,50740,49392,,48259,50043,47548,43425
27,Kansas,53906,52504,50972,50241,48964,,47817,50177,47451,44264
29,Nevada,52431,51450,51230,49760,48927,,53341,56361,55062,50819
28,South Dakota,53017,50979,48947,48362,48321,,45043,46032,43424,44624
26,Oregon,54148,51075,50251,49161,46816,,48457,50169,48730,45485
31,Arizona,51492,50068,48510,47826,46709,,48745,50958,49889,46729
35,Indiana,50532,49446,47529,46974,46438,,45424,47966,47448,44806
30,Maine,51494,49462,46974,46709,46033,,45734,46581,45888,45040
32,Georgia,51244,49321,47829,47209,46007,,47590,50861,49136,46841
33,Michigan,51084,49847,48273,46859,45981,,45255,48591,47950,47064
34,Ohio,51075,49308,48081,46829,45749,,45395,47988,46597,45837
36,Missouri,50238,48363,46931,45321,45247,,45229,46867,45114,44651
38,Florida,49426,47463,46036,45040,44299,,44736,47778,47804,44448
37,Montana,49509,46328,46972,45076,44222,,42322,43654,43531,38629
41,North Carolina,47830,46556,45906,45150,43916,,43674,46549,44670,42061
40,Idaho,48275,47861,46783,45489,43341,,44926,47576,46253,46395
39,Oklahoma,48568,47529,45690,44312,43225,,41664,42822,41567,40001
43,South Carolina,47238,45238,44163,43107,42367,,44625,43329,40822,39454
45,New Mexico,45382,44803,43872,42558,41963,,43028,43508,41452,40827
44,Louisiana,45727,44555,44164,42944,41734,,42492,43733,40926,37943
42,Tennessee,47275,44361,44297,42764,41693,,41725,43614,42367,40676
47,Alabama,44765,42830,42849,41574,41415,,40489,42666,40554,38473
46,Kentucky,45215,42958,43399,41724,41141,,40072,41538,40267,38466
49,Arkansas,41995,41262,40511,40112,38758,,40489,41393,42229,41679
48,West Virginia,42019,41059,41253,40196,38482,,37435,37989,37060,37227
50,Mississippi,40593,39680,37963,37095,36919,,36646,37790,36338,35261
,,,,,,,,,,,
